id,error
1122958,1986.8056355303418
1122959,4393.438497228191
1122960,5309.421303224295
1122961,4523.098934218587
1122962,2839.382721680958
1122963,1163.1172377893606
1122964,29.383315228073442
1122965,520.2179821086021
1122966,608.5762315919341
1122967,484.74303121463265
1122968,292.2373084735151
1122969,154.75621582329342
1122970,180.29560883697334
1122971,248.22425803860477
1122972,1449.6799624766247
1122973,2917.535053653109
1122974,3469.3338433134813
1122975,939.8268601519349
1122976,1919.794413225858
1122977,2253.900180281432
1122978,2395.4401005186405
1122979,1727.7647646801543
1122980,1313.358865820878
1122981,1447.2419760487596
1122982,1640.2673298447316
1122983,3907.8724010693813
1122984,5533.008723632714
1122985,5533.842741495486
1122986,4217.697593059164
1122987,2402.83022113339
1122988,813.064828011672
1122989,300.89620658339294
1122990,712.9308718970146
1122991,727.3540909850007
1122992,1016.3860353362998
1122993,948.2983930331532
1122994,1945.6940927683925
1122995,1218.8959455861857
1122996,3890.3752130322414
1122997,5098.941525918629
1122998,3117.4358631973228
1122999,1012.7700053150368
1123000,3672.2431715514927
1123001,4836.32834722501
1123002,3792.0124708893113
1123003,1697.3053814017808
1123004,2263.6097662795933
1123005,2760.0520879086157
1123006,2405.4862932869037
1123007,3806.753793357479
1123008,5559.097558573718
1123009,6027.322417217294
1123010,5105.395866507694
1123011,3398.24774905868
1123012,1616.6847024569383
1123013,659.4497722922936
1123014,1231.732526498185
1123015,828.7671251335148
1123016,1486.6023853137044
1123017,1990.4068227917833
1123018,1100.1092535000782
1123019,3447.1828627188493
1123020,5797.68650652832
1123021,5557.92916472633
1123022,2603.0670855264575
1123023,2591.6393933535714
1123024,5879.95634747125
1123025,6538.79787026057
1123026,4353.61142142599
1123027,1515.5713378807561
1123028,2919.7047635492577
1123029,3764.1899290457613
1123030,3329.5406960635487
1123031,3984.797685349863
1123032,5623.282520596933
1123033,6337.08597017707
1123034,5729.073939286872
1123035,4192.178868299861
1123036,2516.9611573920747
1123037,1374.6116084518787
1123038,532.0431085254069
1123039,1395.7503130957411
1123040,2067.962988637881
1123041,1252.9093080166272
1123042,2262.7563620539454
1123043,5320.356709552696
1123044,6886.568169891641
1123045,5580.1143057995705
1123046,2342.1972276919314
1123047,4553.593360285007
1123048,7684.584639831538
1123049,7683.344108582478
1123050,4702.376854913844
1123051,1382.1995431730982
1123052,3410.584517065311
1123053,4558.610127484399
1123054,4221.209457275148
1123055,4365.748618047726
1123056,5651.304481144138
1123057,6547.139026682457
1123058,6251.270469745187
1123059,4954.999235713341
1123060,3208.789780530973
1123061,1442.1926661241164
1123062,1015.9752431247524
1123063,1967.0449640653374
1123064,1747.438277822401
1123065,1040.7369235570447
1123066,3934.333475894589
1123067,6774.547074027567
1123068,7506.686336669407
1123069,5378.3437479965205
1123070,2974.8267553337855
1123071,6331.663619309551
1123072,9121.723017125003
1123073,8532.412942614948
1123074,4978.982449437887
1123075,1354.1692483539669
1123076,3848.40206227979
1123077,5238.744106877589
1123078,4871.839233570292
1123079,4670.425919844817
1123080,5812.756920728897
1123081,6850.908120582642
1123082,6752.175235196055
1123083,5527.004398554422
1123084,3679.9970035928213
1123085,2050.954416876928
1123086,1904.164468070559
1123087,2105.833571851136
1123088,1101.2167675504538
1123089,2166.439086014018
1123090,5470.208388778624
1123091,7856.4553663604465
1123092,7806.7193304418815
1123093,5193.633081350474
1123094,4104.225714450998
1123095,7880.2645136034325
1123096,10298.383980549526
1123097,9210.21958107797
1123098,5211.9405656339195
1123099,1444.2768974141595
1123100,4183.735141607647
1123101,5693.829840814648
1123102,5410.181919098439
1123103,5175.435277448379
1123104,6189.040414177272
1123105,7206.629825379654
1123106,7154.962631089964
1123107,5976.825532334579
1123108,4245.875682722442
1123109,2922.507121486996
1123110,2540.6952730899534
1123111,1933.2567941899968
1123112,750.1188888605684
1123113,3490.490569261181
1123114,6768.978301884245
1123115,8629.304945410722
1123116,7923.3340924792155
1123117,5169.761667575988
1123118,5340.112889697333
1123119,9233.165032690133
1123120,11279.37863200279
1123121,9758.374144559466
1123122,5430.043852377974
1123123,1612.7543887194558
1123124,4419.42890339689
1123125,6076.888275713699
1123126,6001.137480911971
1123127,5839.154100902674
423293,4102.063491182882
423294,4275.630427835895
423295,4480.717496517565
423296,4738.617939216259
423297,5278.104215970164
423298,5186.315353031006
423299,5503.795853063537
423300,4874.035773691531
423301,5840.871340443555
423302,5834.995510289993
423303,6498.032294090521
423304,5715.871424473604
423305,5558.050806074034
423306,6202.294716527374
423307,6166.998565578655
423308,5593.099958309902
423309,5103.947097294884
