pair_id,dev,group_id,doc_id,target,count,mean,std,min,25%,50%,75%,max
1,0.16876759504202155,1,15731,0,100.0,0.7615546546649807,0.25086310785777755,0.06250371371052588,0.6266505520170149,0.834144786050593,1.00049631537567,1.0030041279198794
2,0.7361449101845249,1,14829,0,101.0,0.9255621662338018,0.12885677057529116,0.4523450119991882,0.8807697161530156,1.0008744047116005,1.001797533647226,1.0165422716797363
3,0.643682973491449,1,15764,0,101.0,0.9116507223050868,0.15160275391758624,0.4391124930590864,0.8600845804833863,1.0005623711289997,1.0011455955536646,1.0107646058440076
4,0.9686217792846225,1,17669,0,101.0,0.9993779823738055,0.0043455417847477066,0.970346658290233,0.9997048140497324,1.0001980883351012,1.0005623711289997,1.001958212667772
5,0.2695658328142938,1,14852,0,101.0,0.7923801825772862,0.26422513053956787,0.025196234741911683,0.6202020600166085,0.9000593803763232,1.0011975350282447,1.004416054289776
6,0.6108162141049863,1,15458,0,98.0,0.895198295625943,0.1873284971377131,0.0447398509579503,0.8206656897394214,0.9989410464511593,1.0007577512109238,1.0055648801987418
7,0.4059436875670651,1,14899,0,101.0,0.816016333094718,0.22359405617485134,0.20472124164036043,0.6368280982631132,0.9179353743022193,1.0004719600483827,1.0038356143368243
8,0.3570056613542749,1,16879,0,101.0,0.8095703412235532,0.2690743632559885,0.1642104531566171,0.6519771641527946,0.9875426969575712,1.0007915234857614,1.0028421874274378
9,0.6132786932556668,1,16310,0,101.0,0.8913194152911439,0.13996127116784365,0.4901474918738744,0.8120151499190866,0.9784235654837916,1.0018718696918507,1.021362604244543
10,0.9515194869572815,1,15440,0,101.0,0.9944996238646394,0.04748751895307768,0.5448171493657262,1.0015165432001307,1.0021154271907498,1.0028421874274378,1.0253861780349929
11,0.40115858035966245,1,16242,0,101.0,0.8261985489128324,0.2540929196147442,0.12822049951601477,0.6963486313082876,1.0003533700637384,1.001418330584235,1.003598615899203
12,0.5797339210375676,1,16383,0,101.0,0.8758052354049567,0.23334251862142605,0.13684516177461958,0.9551142096781743,0.9998257960311984,1.001121986171843,1.0042959230114266
13,0.9652300541813909,1,15580,0,101.0,0.9939121119154877,0.05321853561057942,0.4685080358908196,0.9997403793833454,1.000641683522162,1.001337942048661,1.004016196597333
14,0.6104754555780014,1,16840,0,101.0,0.9008128208376002,0.19878828354325512,0.1592110450548725,0.993157240159183,0.9996641344832254,1.0011320546756068,1.0045992130151966
15,0.8206634741219827,1,17519,0,101.0,0.9609463783362848,0.08226313126441706,0.6215293594882183,0.9995541084110221,1.000467004545386,1.0009147329504409,1.002312957505314
16,0.8996066765002642,1,15185,0,101.0,0.981282633053588,0.11556320487856293,0.15413819175203647,1.0001578403628575,1.0007321203336006,1.0011645168862024,1.0022901027356788
17,0.6591422664166227,1,15016,0,101.0,0.9136778864226556,0.1753996010790204,0.1592110450548725,0.9956620667424658,0.9996747606690732,1.0009408090191356,1.003842724017355
18,0.96543513424398,1,17796,0,101.0,1.000746407853289,0.0010682033736049566,0.9943238985558703,1.0004998742121065,1.0008136602830109,1.0012443215773632,1.0024527473118559
19,0.6454882304915315,1,17507,0,101.0,0.9012309508016434,0.1566943509245519,0.31163408439361107,0.8106821111533273,1.001148145002359,1.0016571458998431,1.0083829210539246
20,0.8978639705301172,1,16929,0,101.0,0.9833618552666291,0.09749973279144908,0.3473793958153574,1.0007205106478576,1.0010279384858864,1.0017286314867593,1.0030390995938352
21,0.9879719184509195,1,17389,0,101.0,0.9867233770965564,0.05385402549328702,0.6731161287806156,0.9934121680135298,1.0013260224993654,1.0059482393844814,1.0213928953925056
22,0.9047831779635191,1,16272,0,101.0,0.9850435842807955,0.036746835557729486,0.8152792232729545,0.9820262866496607,1.0022405507006558,1.003456867160144,1.0443794239344115
23,0.6732852225832333,1,16057,0,101.0,0.897946545285227,0.17423532889561538,0.23345861910818544,0.8331307948443138,1.001239147753962,1.0025551237589685,1.0236790490233043
24,0.7034165243765067,1,15641,0,101.0,0.9185647650799421,0.13162615519650056,0.4860277937061519,0.8450196108808344,0.9920364436179092,1.0017221926204192,1.0177789294631225
25,0.7665106761783687,1,17356,0,101.0,0.940793626905805,0.11641362980329852,0.3142386360829462,0.9134575155374308,1.000176433031969,1.0008136602830109,1.002388131309719
26,0.8825831566843724,1,15222,0,101.0,0.9783071777006694,0.11732525288619308,0.148490489234962,1.0001501195927782,1.0006458975903911,1.001038100592084,1.0023927528049252
27,0.5262227947584608,1,16105,0,101.0,0.8706918281817447,0.1515510898953412,0.4194072171253592,0.7497102021959572,0.9250560607108701,1.0005268897292492,1.0027073944119373
28,0.8887407527605371,1,17781,0,101.0,0.9876880829063241,0.07551304953871686,0.4539864556265757,1.000236169400858,1.000496550250254,1.000784388076146,1.0016184291514127
29,0.562066004451756,1,15763,1,101.0,0.8886166433443371,0.15580988600490167,0.45678276497982695,0.8055212764337737,1.000325752883937,1.0008740730900987,1.0034957727120182
